PMID,Title,Authors,Journal,Year,DOI,Notes
10903949,Insights into molybdenum cofactor deficiency provided by the crystal structure of the molybdenum cofactor biosynthesis protein MoaC.,"Wuebbens MM, Liu MT, Rajagopalan K, Schindelin H",Structure,15,N/A,
12385777,"The peak height ratio of S-sulfonated transthyretin and other oxidized isoforms as a marker for molybdenum cofactor deficiency, measured by electrospray ionization mass spectrometry.","Kishikawa M, Sass JO, Sakura N, Nakanishi T, Shimizu A, Yoshioka M",Biochim Biophys Acta,20,N/A,
12732628,Mechanistic studies of human molybdopterin synthase reaction and characterization of mutants identified in group B patients of molybdenum cofactor deficiency.,"Leimkuhler S, Freuer A, Araujo JA, Rajagopalan KV, Mendel RR",J Biol Chem,11,N/A,
17236133,Long-term rescue of a lethal inherited disease by adeno-associated virus-mediated gene transfer in a mouse model of molybdenum-cofactor deficiency.,"Kügler S, Hahnewald R, Garrido M, Reiss J",Am J Hum Genet,Feb,N/A,
19907877,Molybdenum cofactor deficiency in a Malaysian child.,"Ngu LH, Afroze B, Chen BC, Affandi O, Zabedah MY",Singapore Med J,Oct,N/A,
20385644,Successful treatment of molybdenum cofactor deficiency type A with cPMP.,"Veldman A, Santamaria-Araujo JA, Sollazzo S, Pitt J, Gianello R, Yaplito-Lee J, Wong F, Ramsden CA, Reiss J, Cook I, Fairweather J, Schwarz G",Pediatrics,May,N/A,
20573177,Maternal uniparental isodisomy is responsible for serious molybdenum cofactor deficiency.,"Gümüş H, Ghesquiere S, Per H, Kondolot M, Ichida K, Poyrazoğlu G, Kumandaş S, Engelen J, Dundar M, Cağlayan AO",Dev Med Child Neurol,Sep,N/A,
23203137,Mutations associated with functional disorder of xanthine oxidoreductase and hereditary xanthinuria in humans.,"Ichida K, Amaya Y, Okamoto K, Nishino T",Int J Mol Sci,21,N/A,
23430915,Molybdenum cofactor deficiency: a new HPLC method for fast quantification of s-sulfocysteine in urine and serum.,"Belaidi AA, Arjune S, Santamaria-Araujo JA, Sass JO, Schwarz G",JIMD Rep,2012,N/A,
25709896,Investigation of molybdenum cofactor deficiency due to MOCS2 deficiency in a newborn baby.,"Edwards M, Roeper J, Allgood C, Chin R, Santamaria J, Wong F, Schwarz G, Whitehall J",Meta Gene,Feb,N/A,
25764214,Ultra-orphan diseases: a quantitative analysis of the natural history of molybdenum cofactor deficiency.,"Mechler K, Mountford WK, Hoffmann GF, Ries M",Genet Med,Dec,N/A,
26575208,Mechanistic Investigation of cPMP Synthase in Molybdenum Cofactor Biosynthesis Using an Uncleavable Substrate Analogue.,"Hover BM, Lilla EA, Yokoyama K",Biochemistry,15,N/A,
27289259,Molybdenum cofactor and isolated sulphite oxidase deficiencies: Clinical and molecular spectrum among Egyptian patients.,"Zaki MS, Selim L, El-Bassyouni HT, Issa MY, Mahmoud I, Ismail S, Girgis M, Sadek AA, Gleeson JG, Abdel Hamid MS",Eur J Paediatr Neurol,Sep,N/A,
28524215,[Novel therapies in neurometabolic diseases: the importance of early intervention].,Gutierrez-Solana LG,Rev Neurol,17,N/A,
29106383,S-sulfocysteine/NMDA receptor-dependent signaling underlies neurodegeneration in molybdenum cofactor deficiency.,"Kumar A, Dejanovic B, Hetsch F, Semtner M, Fusca D, Arjune S, Santamaria-Araujo JA, Winkelmann A, Ayton S, Bush AI, Kloppenburg P, Meier JC, Schwarz G, Belaidi AA",J Clin Invest,1,N/A,
29696052,"Novel Imaging Finding and Novel Mutation in an Infant with Molybdenum Cofactor Deficiency, a Mimicker of Hypoxic-Ischaemic Encephalopathy.","Yoganathan S, Sudhakar S, Thomas M, Kumar Dutta A, Danda S, Chandran M",Iran J Child Neurol,Spring,N/A,
29899766,Actual Insights into Treatable Inborn Errors of Metabolism Causing Epilepsy.,Mastrangelo M,J Pediatr Neurosci,Jan-Mar,N/A,
30108670,Molybdenum cofactor deficiency: Neuroimaging findings.,"Durmaz MS, Özbakır B",Radiol Case Rep,Jun,N/A,
30619713,Severe cystic degeneration and intractable seizures in a newborn with molybdenum cofactor deficiency type B.,"Hannah-Shmouni F, MacNeil L, Potter M, Jobling R, Yoon G, Laughlin S, Blaser S, Inbar-Feigenberg M",Mol Genet Metab Rep,Mar,N/A,
30900395,Mild phenotype in Molybdenum cofactor deficiency: A new patient and review of the literature.,"Scelsa B, Gasperini S, Righini A, Iascone M, Brazzoduro VG, Veggiotti P",Mol Genet Genomic Med,Jun,N/A,
32014857,Mortality in a neonate with molybdenum cofactor deficiency illustrates the need for a comprehensive rapid precision medicine system.,"Kingsmore SF, Ramchandar N, James K, Niemi AK, Feigenbaum A, Ding Y, Benson W, Hobbs C, Nahas S, Chowdhury S, Dimmock D",Cold Spring Harb Mol Case Stud,Feb,N/A,
32099439,Molybdenum Cofactor Deficiency: Mega Cisterna Magna in Two Consecutive Pregnancies and Review of the Literature.,"Alonzo Martínez MC, Cazorla E, Cánovas E, Anniuk K, Cores AE, Serrano AM",Appl Clin Genet,2020,N/A,
32802950,Delineating the phenotypic spectrum of sulfite oxidase and molybdenum cofactor deficiency.,"Misko AL, Liang Y, Kohl JB, Eichler F",Neurol Genet,Aug,N/A,
33446569,Protein-bound molybdenum cofactor is bioavailable and rescues molybdenum cofactor-deficient C. elegans.,"Warnhoff K, Hercher TW, Mendel RR, Ruvkun G",Genes Dev,1,N/A,
33488670,Sulfite Alters the Mitochondrial Network in Molybdenum Cofactor Deficiency.,"Mellis AT, Roeper J, Misko AL, Kohl J, Schwarz G",Front Genet,2020,N/A,
33502714,Rare cause of xanthinuria: a pediatric case of molybdenum cofactor deficiency B.,"Lee EJ, Dandamudi R, Granadillo JL, Grange DK, Kakajiwala A",CEN Case Rep,Aug,N/A,
33526584,Learning from the worm: the effectiveness of protein-bound Moco to treat Moco deficiency.,"Sewell AK, Han M",Genes Dev,1,N/A,
33552910,The effect of dietary protein restriction in a case of molybdenum cofactor deficiency with MOCS1 mutation.,"Abe Y, Aihara Y, Endo W, Hasegawa H, Ichida K, Uematsu M, Kure S",Mol Genet Metab Rep,Mar,N/A,
33840416,[Molybdenum cofactor deficiency caused by MOCS1 gene mutation: a case report].,"Wu LH, Jiang Y, Hu Y",Zhongguo Dang Dai Er Ke Za Zhi,Apr,N/A,
33897766,Case Report: Compound Heterozygous Variants in MOCS3 Identified in a Chinese Infant With Molybdenum Cofactor Deficiency.,"Tian Q, Cao Y, Shu L, Chen Y, Peng Y, Wang Y, Chen Y, Wang H, Mao X",Front Genet,2021,N/A,
34012852,A neonate with molybdenum cofactor deficiency type B.,"Lin Y, Liu Y, Chen S, Zhu J, Huang Y, Lin Z, Chen S",Transl Pediatr,Apr,N/A,
34013236,"Coexistence of molybdenum cofactor deficiency type A and hypertrophic pyloric stenosis, a new case.","Satar M, Kurtoğlu Aİ, Yıldızdaş HY, Önenli Mungan N, Özlü F, Bişgin A",Turk Arch Pediatr,Jan,N/A,
34403026,Neonatal seizures as onset of Inborn Errors of Metabolism (IEMs): from diagnosis to treatment. A systematic review.,"Falsaperla R, Sciuto L, La Spina L, Sciuto S, Praticò AD, Ruggieri M",Metab Brain Dis,Dec,N/A,
34870926,Molybdenum Cofactor Deficiency.,"Adam MP, Bick S, Mirzaa GM, Pagon RA, Wallace SE, Amemiya A, Misko A, Mahtani K, Abbott J, Schwarz G, Atwal P",,1993,N/A,
35192225,Molybdenum cofactor deficiency: A natural history.,"Spiegel R, Schwahn BC, Squires L, Confer N",J Inherit Metab Dis,May,N/A,
35692435,Ocular characteristics of a 6-year-Old boy with molybdenum cofactor deficiency type B.,"Yan W, Huang L, Sun L, Ding X",Am J Ophthalmol Case Rep,Sep,N/A,
36296488,Molybdenum Cofactor Deficiency in Humans.,"Johannes L, Fu CY, Schwarz G",Molecules,14,N/A,
36423681,Obtaining the necessary molybdenum cofactor for sulfite oxidase activity in the nematode Caenorhabditis elegans surprisingly involves a dietary source.,"Oliphant KD, Fettig RR, Snoozy J, Mendel RR, Warnhoff K",J Biol Chem,Jan,N/A,
37789894,A milder form of molybdenum cofactor deficiency type A presenting as Leigh's syndrome-like phenotype highlighting the secondary mitochondrial dysfunction: a case report.,"Almudhry M, Prasad AN, Rupar CA, Tay KY, Ratko S, Jenkins ME, Prasad C",Front Neurol,2023,N/A,
37817707,Potassium Voltage-Gated Channel Subfamily H Member 1 (KCNH1) Missense Mutation Causing Epileptic Encephalopathy And Autistic Behaviour.,"Chand P, Sulaiman A, Kirmani S",J Pak Med Assoc,Sep,N/A,
37836841,The History of Animal and Plant Sulfite Oxidase-A Personal View.,"Mendel RR, Schwarz G",Molecules,9,N/A,
38187804,Molybdenum - a scoping review for Nordic Nutrition Recommendations 2023.,"Oskarsson A, Kippler M",Food Nutr Res,2023,N/A,
38463082,A case report of molybdenum cofactor deficiency type A: the first case diagnosed in Syria.,"Kardah H, Al-Zoubi H, Odeh Z, Joumaa R, Alasmar D",Ann Med Surg (Lond),Mar,N/A,
